player_name,pfr_player_id,adv_stat_category,team,tgt,rec,receiving_yards,receiving_td,receiving_fd,receiving_yards_before_catch,receiving_yards_before_catch_avg,receiving_yards_after_catch,receiving_yards_after_catch_avg,adot,receiving_broken_tackles,receiving_per_broken_tackle,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,pfr_game_id
Tyler Higbee,HigbTy00,receiving,LAR,9,6,69,0,3,39,6.5,30,5,5.4,0,NA,0,0,1,50,202201020rav
Cooper Kupp,KuppCo00,receiving,LAR,7,6,95,1,4,34,5.7,61,10.2,5.3,0,NA,0,0,0,158.3,202201020rav
Odell Beckham Jr.,BeckOd00,receiving,LAR,7,5,39,1,2,35,7,4,0.8,10.6,0,NA,0,0,1,84.8,202201020rav
Van Jefferson,JeffVa00,receiving,LAR,5,4,63,0,2,51,12.8,12,3,13.2,0,NA,1,20,0,118.7,202201020rav
Sony Michel,MichSo00,receiving,LAR,5,3,25,0,2,5,1.7,20,6.7,0.8,0,NA,2,40,0,72.9,202201020rav
Ben Skowronek,SkowBe00,receiving,LAR,2,2,18,0,1,13,6.5,5,2.5,6.5,0,NA,0,0,0,104.2,202201020rav
Rashod Bateman,BateRa00,receiving,BAL,10,7,58,0,3,50,7.1,8,1.1,9.4,0,NA,0,0,0,84.6,202201020rav
Mark Andrews,AndrMa00,receiving,BAL,6,6,89,0,3,59,9.8,30,5,9.8,0,NA,0,0,0,118.7,202201020rav
Marquise Brown,BrowMa04,receiving,BAL,8,3,28,0,3,23,7.7,5,1.7,13,0,NA,1,12.5,1,8.3,202201020rav
Devin Duvernay,DuveDe00,receiving,BAL,3,2,19,0,NA,11,5.5,8,4,5.3,1,2,0,0,0,84,202201020rav
Nick Boyle,BoylNi00,receiving,BAL,1,1,2,0,NA,2,2,0,0,2,0,NA,0,0,0,79.2,202201020rav
Devonta Freeman,FreeDe00,receiving,BAL,1,1,1,0,0,-5,-5,6,6,-5,0,NA,0,0,0,79.2,202201020rav
