player_name,pfr_player_id,adv_stat_category,team,def_ints,def_targets,def_completions_allowed,def_completion_pct,def_yards_allowed,def_yards_allowed_per_cmp,def_yards_allowed_per_tgt,def_receiving_td_allowed,def_passer_rating_allowed,def_adot,def_air_yards_completed,def_yards_after_catch,def_times_blitzed,def_times_hurried,def_times_hitqb,def_sacks,def_pressures,def_tackles_combined,def_missed_tackles,def_missed_tackle_pct,pfr_game_id
Michael Pierce,PierMi00,defense,NA,NA,1,0,0.0%,NA,NA,0,NA,39.6,NA,NA,NA,0,0,0,NA,0,NA,0,NA,202201090min
Artie Burns,BurnAr00,defense,CHI,0,4,4,100.0%,53,13.3,13.3,1,158.3,22.8,49,4,0,0,0,0,0,3,0,0.0%,202201090min
Roquan Smith,SmitRo07,defense,CHI,0,2,2,100.0%,10,5,5,0,87.5,2.5,5,5,1,0,0,0,0,6,0,0.0%,202201090min
Eddie Jackson,JackEd01,defense,CHI,0,3,2,66.7%,71,35.5,23.7,1,149.3,24,66,5,2,0,0,0,0,5,0,0.0%,202201090min
Jaylon Johnson,JohnJa13,defense,CHI,0,3,2,66.7%,40,20,13.3,0,109.7,12,35,5,0,0,0,0,0,2,0,0.0%,202201090min
Deon Bush,BushDe00,defense,CHI,0,1,1,100.0%,3,3,3,0,79.2,3,3,0,1,0,0,0,0,4,0,0.0%,202201090min
Marqui Christian,ChriMa00,defense,CHI,0,1,1,100.0%,44,44,44,1,158.3,33,33,11,1,0,0,0,0,0,0,NA,202201090min
Alec Ogletree,OgleAl00,defense,CHI,0,3,1,33.3%,-3,-3,-1,0,42.4,4.3,-6,3,0,0,0,0,0,4,0,0.0%,202201090min
Tashaun Gipson,GipsTa00,defense,CHI,0,2,1,50.0%,9,9,4.5,0,62.5,2,0,9,0,0,0,0,0,3,1,25.0%,202201090min
Thomas Graham,GrahTh00,defense,CHI,0,1,1,100.0%,4,4,4,0,83.3,2,2,2,0,0,0,0,0,1,0,0.0%,202201090min
Kindle Vildor,VildKi00,defense,CHI,0,1,1,100.0%,19,19,19,0,118.7,20,20,-1,0,0,0,0,0,1,0,0.0%,202201090min
Bilal Nichols,NichBi00,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0.5,3,5,0,0.0%,202201090min
Angelo Blackson,BlacAn00,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,2,1,0,0.0%,202201090min
Mario Edwards,EdwaMa01,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0.5,2,1,0,0.0%,202201090min
Bruce Irvin,IrviBr00,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,0,1,1,0,0.0%,202201090min
Trevis Gipson,GipsTr00,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,1,4,0,0.0%,202201090min
Robert Quinn,QuinRo00,defense,CHI,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,1,1,0,0.0%,202201090min
Nick Vigil,VigiNi00,defense,MIN,0,9,8,88.9%,76,9.5,8.4,0,101.9,2.6,24,52,7,1,0,0,1,7,1,12.5%,202201090min
Cameron Dantzler,DantCa00,defense,MIN,0,12,7,58.3%,48,6.9,4,0,67.4,6.1,26,22,0,0,0,0,0,9,0,0.0%,202201090min
Anthony Barr,BarrAn00,defense,MIN,0,8,6,75.0%,76,12.7,9.5,1,143.7,4.9,19,57,9,1,0,2,3,11,0,0.0%,202201090min
Patrick Peterson,PetePa00,defense,MIN,1,6,5,83.3%,44,8.8,7.3,0,57.6,13.5,43,1,0,0,0,0,0,7,1,12.5%,202201090min
Josh Metellus,MeteJo00,defense,MIN,0,4,2,50.0%,31,15.5,7.8,0,76,15.5,26,5,1,1,0,0,1,6,0,0.0%,202201090min
Parry Nickerson,NickPa00,defense,MIN,0,2,2,100.0%,19,9.5,9.5,0,106.2,3,6,13,0,0,0,0,0,1,2,66.7%,202201090min
D.J. Wonnum,WonnDJ00,defense,MIN,0,1,1,100.0%,5,5,5,0,87.5,-1,-1,6,0,1,0,2,3,7,1,12.5%,202201090min
Armon Watts,WattAr01,defense,MIN,0,1,1,100.0%,7,7,7,0,95.8,0,0,7,0,1,1,0,2,3,0,0.0%,202201090min
Harrison Smith,SmitHa00,defense,MIN,0,2,1,50.0%,11,11,5.5,0,66.7,8.5,11,0,8,0,0,0,0,6,0,0.0%,202201090min
Kenny Willekes,WillKe06,defense,MIN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,3,3,1,25.0%,202201090min
Dalvin Tomlinson,TomlDa00,defense,MIN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,2,6,0,0.0%,202201090min
T.Y. McGill,McGiT.00,defense,MIN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0.0%,202201090min
James Lynch,LyncJa00,defense,MIN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,2,1,33.3%,202201090min
Xavier Woods,WoodXa00,defense,MIN,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,7,1,12.5%,202201090min
