game_id,pfr_game_id,season,game_type,week,player,pfr_player_id,position,team,opponent,offense_snaps,offense_pct,defense_snaps,defense_pct,st_snaps,st_pct
2012_07_NO_TB,201210210tam,2012,REG,7,Jamon Meredith,MereJa20,T,TB,NO,73,1,0,0,5,0.17
2012_07_NO_TB,201210210tam,2012,REG,7,Carl Nicks,NickCa20,G,TB,NO,73,1,0,0,5,0.17
2012_07_NO_TB,201210210tam,2012,REG,7,Donald Penn,PennDo20,T,TB,NO,73,1,0,0,5,0.17
2012_07_NO_TB,201210210tam,2012,REG,7,Demar Dotson,DotsDe00,T,TB,NO,73,1,0,0,5,0.17
2012_07_NO_TB,201210210tam,2012,REG,7,Josh Freeman,FreeJo00,QB,TB,NO,73,1,0,0,0,0
2012_07_NO_TB,201210210tam,2012,REG,7,Jeremy Zuttah,ZuttJe20,C,TB,NO,72,0.99,0,0,0,0
2012_07_NO_TB,201210210tam,2012,REG,7,Vincent Jackson,JackVi00,WR,TB,NO,68,0.93,0,0,0,0
2012_07_NO_TB,201210210tam,2012,REG,7,Mike Williams,WillMi04,WR,TB,NO,66,0.9,0,0,0,0
2012_07_NO_TB,201210210tam,2012,REG,7,Doug Martin,MartDo00,RB,TB,NO,56,0.77,0,0,0,0
2012_07_NO_TB,201210210tam,2012,REG,7,Dallas Clark,ClarDa00,TE,TB,NO,44,0.6,0,0,0,0
2012_07_NO_TB,201210210tam,2012,REG,7,Tiquan Underwood,UndeTi00,WR,TB,NO,43,0.59,0,0,0,0
2012_07_NO_TB,201210210tam,2012,REG,7,Luke Stocker,StocLu00,TE,TB,NO,34,0.47,0,0,5,0.17
2012_07_NO_TB,201210210tam,2012,REG,7,Erik Lorig,LoriEr99,FB,TB,NO,21,0.29,0,0,25,0.83
2012_07_NO_TB,201210210tam,2012,REG,7,Nate Byham,ByhaNa00,TE,TB,NO,10,0.14,0,0,6,0.2
2012_07_NO_TB,201210210tam,2012,REG,7,LeGarrette Blount,BlouLe00,RB,TB,NO,10,0.14,0,0,0,0
2012_07_NO_TB,201210210tam,2012,REG,7,Danny Ware,WareDa00,RB,TB,NO,7,0.1,0,0,10,0.33
2012_07_NO_TB,201210210tam,2012,REG,7,Arrelious Benn,BennAr00,WR,TB,NO,4,0.05,0,0,15,0.5
2012_07_NO_TB,201210210tam,2012,REG,7,Jeremy Trueblood,TrueJe20,T,TB,NO,2,0.03,0,0,5,0.17
2012_07_NO_TB,201210210tam,2012,REG,7,Ted Larsen,LarsTe20,G,TB,NO,1,0.01,0,0,11,0.37
2012_07_NO_TB,201210210tam,2012,REG,7,E.J. Biggers,BiggE.99,CB,TB,NO,0,0,64,1,15,0.5
2012_07_NO_TB,201210210tam,2012,REG,7,Ronde Barber,BarbRo00,FS,TB,NO,0,0,64,1,10,0.33
2012_07_NO_TB,201210210tam,2012,REG,7,Eric Wright,WrigEr99,CB,TB,NO,0,0,64,1,5,0.17
2012_07_NO_TB,201210210tam,2012,REG,7,Mark Barron,BarrMa00,SS,TB,NO,0,0,64,1,5,0.17
2012_07_NO_TB,201210210tam,2012,REG,7,Lavonte David,DaviLa00,LB,TB,NO,0,0,64,1,5,0.17
2012_07_NO_TB,201210210tam,2012,REG,7,Gerald McCoy,McCoGe99,DT,TB,NO,0,0,60,0.94,5,0.17
2012_07_NO_TB,201210210tam,2012,REG,7,Michael Bennett,BennMi99,DE,TB,NO,0,0,58,0.91,5,0.17
2012_07_NO_TB,201210210tam,2012,REG,7,Daniel Te'o-Nesheim,Teo-Da99,DE,TB,NO,0,0,54,0.84,4,0.13
2012_07_NO_TB,201210210tam,2012,REG,7,Mason Foster,FostMa00,LB,TB,NO,0,0,45,0.7,9,0.3
2012_07_NO_TB,201210210tam,2012,REG,7,Brandon McDonald,McDoBr99,CB,TB,NO,0,0,39,0.61,10,0.33
2012_07_NO_TB,201210210tam,2012,REG,7,Roy Miller,MillRo99,DT,TB,NO,0,0,33,0.52,5,0.17
