game_id,pfr_game_id,season,game_type,week,player,pfr_player_id,position,team,opponent,offense_snaps,offense_pct,defense_snaps,defense_pct,st_snaps,st_pct
2012_12_PIT_CLE,201211250cle,2012,REG,12,Mitchell Schwartz,SchwMi00,T,CLE,PIT,67,1,0,0,4,0.13
2012_12_PIT_CLE,201211250cle,2012,REG,12,Alex Mack,MackAl20,C,CLE,PIT,67,1,0,0,4,0.13
2012_12_PIT_CLE,201211250cle,2012,REG,12,Shawn Lauvao,LauvSh20,G,CLE,PIT,67,1,0,0,4,0.13
2012_12_PIT_CLE,201211250cle,2012,REG,12,John Greco,GrecJo20,C,CLE,PIT,67,1,0,0,4,0.13
2012_12_PIT_CLE,201211250cle,2012,REG,12,Joe Thomas,ThomJo28,T,CLE,PIT,67,1,0,0,4,0.13
2012_12_PIT_CLE,201211250cle,2012,REG,12,Trent Richardson,RichTr00,RB,CLE,PIT,65,0.97,0,0,0,0
2012_12_PIT_CLE,201211250cle,2012,REG,12,Brandon Weeden,WeedBr00,QB,CLE,PIT,61,0.91,0,0,0,0
2012_12_PIT_CLE,201211250cle,2012,REG,12,Josh Gordon,GordJo02,WR,CLE,PIT,61,0.91,0,0,0,0
2012_12_PIT_CLE,201211250cle,2012,REG,12,Ben Watson,WatsBe00,TE,CLE,PIT,58,0.87,0,0,4,0.13
2012_12_PIT_CLE,201211250cle,2012,REG,12,Greg Little,LittGr00,WR,CLE,PIT,55,0.82,0,0,0,0
2012_12_PIT_CLE,201211250cle,2012,REG,12,Jordan Cameron,CameJo00,TE,CLE,PIT,27,0.4,0,0,2,0.07
2012_12_PIT_CLE,201211250cle,2012,REG,12,Alex Smith,SmitAl02,TE,CLE,PIT,24,0.36,0,0,13,0.43
2012_12_PIT_CLE,201211250cle,2012,REG,12,Mohamed Massaquoi,MassMo00,WR,CLE,PIT,19,0.28,0,0,0,0
2012_12_PIT_CLE,201211250cle,2012,REG,12,Travis Benjamin,BenjTr00,WR,CLE,PIT,18,0.27,0,0,2,0.07
2012_12_PIT_CLE,201211250cle,2012,REG,12,Colt McCoy,McCoCo00,QB,CLE,PIT,6,0.09,0,0,0,0
2012_12_PIT_CLE,201211250cle,2012,REG,12,Oniel Cousins,CousOn00,T,CLE,PIT,4,0.06,0,0,4,0.13
2012_12_PIT_CLE,201211250cle,2012,REG,12,Josh Cribbs,CribJo01,WR,CLE,PIT,2,0.03,0,0,24,0.8
2012_12_PIT_CLE,201211250cle,2012,REG,12,Montario Hardesty,HardMo00,RB,CLE,PIT,2,0.03,0,0,0,0
2012_12_PIT_CLE,201211250cle,2012,REG,12,D'Qwell Jackson,JackDQ20,LB,CLE,PIT,0,0,63,1,2,0.07
