game_id,pfr_game_id,season,game_type,week,player,pfr_player_id,position,team,opponent,offense_snaps,offense_pct,defense_snaps,defense_pct,st_snaps,st_pct
2018_13_CLE_HOU,201812020htx,2018,REG,13,Nick Martin,MartNi00,C,HOU,CLE,76,1,0,0,7,0.28
2018_13_CLE_HOU,201812020htx,2018,REG,13,Senio Kelemete,KeleSe00,G,HOU,CLE,76,1,0,0,7,0.28
2018_13_CLE_HOU,201812020htx,2018,REG,13,Deshaun Watson,WatsDe00,QB,HOU,CLE,76,1,0,0,0,0
2018_13_CLE_HOU,201812020htx,2018,REG,13,Julie'n Davenport,DaveJu00,T,HOU,CLE,75,0.99,0,0,7,0.28
2018_13_CLE_HOU,201812020htx,2018,REG,13,DeAndre Hopkins,HopkDe00,WR,HOU,CLE,75,0.99,0,0,2,0.08
2018_13_CLE_HOU,201812020htx,2018,REG,13,Ryan Griffin,GrifRy00,TE,HOU,CLE,61,0.8,0,0,11,0.44
2018_13_CLE_HOU,201812020htx,2018,REG,13,Kendall Lamm,LammKe00,T,HOU,CLE,60,0.79,0,0,6,0.24
2018_13_CLE_HOU,201812020htx,2018,REG,13,Demaryius Thomas,ThomDe03,WR,HOU,CLE,60,0.79,0,0,0,0
2018_13_CLE_HOU,201812020htx,2018,REG,13,Zach Fulton,FultZa00,G,HOU,CLE,55,0.72,0,0,6,0.24
2018_13_CLE_HOU,201812020htx,2018,REG,13,DeAndre Carter,CartDe02,WR,HOU,CLE,44,0.58,0,0,6,0.24
2018_13_CLE_HOU,201812020htx,2018,REG,13,Lamar Miller,MillLa01,RB,HOU,CLE,41,0.54,0,0,0,0
2018_13_CLE_HOU,201812020htx,2018,REG,13,Jordan Thomas,ThomJo05,TE,HOU,CLE,40,0.53,0,0,4,0.16
2018_13_CLE_HOU,201812020htx,2018,REG,13,Alfred Blue,BlueAl00,RB,HOU,CLE,36,0.47,0,0,4,0.16
2018_13_CLE_HOU,201812020htx,2018,REG,13,Greg Mancz,MancGr00,C,HOU,CLE,22,0.29,0,0,7,0.28
2018_13_CLE_HOU,201812020htx,2018,REG,13,Jordan Akins,AkinJo00,TE,HOU,CLE,21,0.28,0,0,4,0.16
2018_13_CLE_HOU,201812020htx,2018,REG,13,Martinas Rankin,RankMa00,T,HOU,CLE,16,0.21,0,0,7,0.28
2018_13_CLE_HOU,201812020htx,2018,REG,13,Buddy Howell,HoweGr00,RB,HOU,CLE,1,0.01,0,0,17,0.68
2018_13_CLE_HOU,201812020htx,2018,REG,13,Sammie Coates,CoatSa00,WR,HOU,CLE,1,0.01,0,0,12,0.48
2018_13_CLE_HOU,201812020htx,2018,REG,13,Kareem Jackson,JackKa99,CB,HOU,CLE,0,0,50,0.88,0,0
2018_13_CLE_HOU,201812020htx,2018,REG,13,Tyrann Mathieu,MathTy00,FS,HOU,CLE,0,0,50,0.88,0,0
2018_13_CLE_HOU,201812020htx,2018,REG,13,Justin Reid,ReidJu00,SS,HOU,CLE,0,0,49,0.86,8,0.32
2018_13_CLE_HOU,201812020htx,2018,REG,13,J.J. Watt,WattJ.00,DE,HOU,CLE,0,0,49,0.86,1,0.04
2018_13_CLE_HOU,201812020htx,2018,REG,13,Shareece Wright,WrigSh00,CB,HOU,CLE,0,0,47,0.82,0,0
2018_13_CLE_HOU,201812020htx,2018,REG,13,Jadeveon Clowney,ClowJa00,LB,HOU,CLE,0,0,44,0.77,0,0
2018_13_CLE_HOU,201812020htx,2018,REG,13,Zach Cunningham,CunnZa00,LB,HOU,CLE,0,0,41,0.72,2,0.08
2018_13_CLE_HOU,201812020htx,2018,REG,13,Whitney Mercilus,MercWh00,LB,HOU,CLE,0,0,38,0.67,1,0.04
2018_13_CLE_HOU,201812020htx,2018,REG,13,D.J. Reader,ReadD.00,NT,HOU,CLE,0,0,34,0.6,1,0.04
2018_13_CLE_HOU,201812020htx,2018,REG,13,Aaron Colvin,ColvAa00,CB,HOU,CLE,0,0,33,0.58,3,0.12
2018_13_CLE_HOU,201812020htx,2018,REG,13,Benardrick McKinney,McKiBe00,LB,HOU,CLE,0,0,32,0.56,1,0.04
2018_13_CLE_HOU,201812020htx,2018,REG,13,Angelo Blackson,BlacAn00,DE,HOU,CLE,0,0,28,0.49,2,0.08
2018_13_CLE_HOU,201812020htx,2018,REG,13,Andre Hal,HalxAn00,FS,HOU,CLE,0,0,26,0.46,10,0.4
2018_13_CLE_HOU,201812020htx,2018,REG,13,Christian Covington,CoviCh00,DE,HOU,CLE,0,0,25,0.44,0,0
2018_13_CLE_HOU,201812020htx,2018,REG,13,Brandon Dunn,DunnBr00,NT,HOU,CLE,0,0,22,0.39,3,0.12
2018_13_CLE_HOU,201812020htx,2018,REG,13,Dylan Cole,ColeDy00,LB,HOU,CLE,0,0,17,0.3,13,0.52
