player,url,type,position,offense_snaps,offense_pct,defense_snaps,defense_pct,st_snaps,st_pct,pfr_game_id,season
Cody Whitehair,/players/W/WhitCo03.htm,home,G,71,100,0,0,1,4,201909050chi,2019
James Daniels,/players/D/DaniJa01.htm,home,C,71,100,0,0,1,4,201909050chi,2019
Bobby Massie,/players/M/MassBo00.htm,home,T,71,100,0,0,1,4,201909050chi,2019
Kyle Long,/players/L/LongKy00.htm,home,G,71,100,0,0,1,4,201909050chi,2019
Charles Leno Jr.,/players/L/LenoCh00.htm,home,T,71,100,0,0,1,4,201909050chi,2019
Mitchell Trubisky,/players/T/TrubMi00.htm,home,QB,71,100,0,0,0,0,201909050chi,2019
Allen Robinson,/players/R/RobiAl02.htm,home,WR,68,96,0,0,0,0,201909050chi,2019
Taylor Gabriel,/players/G/GabrTa00.htm,home,WR,65,92,0,0,0,0,201909050chi,2019
Tarik Cohen,/players/C/CoheTa00.htm,home,RB,51,72,0,0,9,36,201909050chi,2019
Mike Davis,/players/D/DaviMi01.htm,home,RB,40,56,0,0,8,32,201909050chi,2019
Adam Shaheen,/players/S/ShahAd00.htm,home,TE,33,46,0,0,3,12,201909050chi,2019
David Montgomery,/players/M/MontDa01.htm,home,RB,27,38,0,0,0,0,201909050chi,2019
Cordarrelle Patterson,/players/P/PattCo00.htm,home,WR,20,28,0,0,17,68,201909050chi,2019
Javon Wims,/players/W/WimsJa00.htm,home,WR,20,28,0,0,0,0,201909050chi,2019
Anthony Miller,/players/M/MillAn02.htm,home,WR,15,21,0,0,3,12,201909050chi,2019
Ben Braunecker,/players/B/BrauBe00.htm,home,TE,9,13,0,0,21,84,201909050chi,2019
Bradley Sowell,/players/S/SoweBr00.htm,home,TE,7,10,0,0,4,16,201909050chi,2019
Kyle Fuller,/players/F/FullKy00.htm,home,CB,0,0,61,100,3,12,201909050chi,2019
Prince Amukamara,/players/A/AmukPr00.htm,home,CB,0,0,61,100,1,4,201909050chi,2019
